symbol,pattern,stage,atr,relative_volume,support,resistance,sma_change_5,sma_change_10,sma_change_20,sma_change_50,sma_change_100,sma_change_200,error
ESIP.JK,channel down,basing,1.91,0.83,29.69,48.0,,,,,,,
ESSA.JK,channel down,breakout,36.44,6.2,586.69,667.33,,,,,,,
ESTA.JK,channel down,basing,2.49,0.03,60.74,67.77,,,,,,,
ESTI.JK,channel down,breakout,0.43,1.55,37.77,39.8,,,,,,,
EURO.JK,channel down,basing,9.49,2.17,171.17,176.12,,,,,,,
EXCL.JK,channel down,topping,54.9,0.13,2076.96,2183.85,,,,,,,
FAST.JK,channel down,topping,15.05,1.93,155.38,174.02,,,,,,,
FILM.JK,channel up,topping,151.66,0.86,2971.34,2856.61,,,,,,,
FIRE.JK,channel down,breakout,5.48,1.07,76.56,86.77,,,,,,,
FITT.JK,channel down,breakout,23.16,0.11,174.62,262.79,,,,,,,
FLMC.JK,multiple tops,breakout,4.4,4.54,32.55,37.0,,,,,,,
FMII.JK,channel up,basing,37.69,0.01,416.12,457.51,,,,,,,
FOLK.JK,channel down,topping,1.9,5.67,50.0,52.0,,,,,,,
FOOD.JK,channel up,basing,2.86,0.03,103.25,111.61,,,,,,,
FORE.JK,insufficient data,breakout,25.88,,,,,,,,,,
FORU.JK,channel up,basing,185.33,0.11,2026.81,2574.67,,,,,,,
FPNI.JK,channel down,basing,8.05,0.19,195.67,198.48,,,,,,,
FUJI.JK,channel down,basing,23.13,0.03,330.12,358.97,,,,,,,
FUTR.JK,channel up,breakdown,6.67,0.13,97.86,97.33,,,,,,,
FWCT.JK,channel up,breakout,11.92,0.16,154.17,170.92,,,,,,,
GDST.JK,channel down,breakout,1.72,0.75,81.05,81.3,,,,,,,
GDYR.JK,symmetrical wedge,topping,53.01,0.26,1239.59,1243.6,,,,,,,
GEMA.JK,channel down,basing,8.32,1.37,87.19,82.07,,,,,,,
GEMS.JK,channel up,topping,340.37,2.07,9829.03,9818.46,,,,,,,
GGRM.JK,channel down,breakout,277.5,0.67,10043.21,9679.79,,,,,,,
GHON.JK,channel down,breakout,45.78,3.53,1577.14,1600.08,,,,,,,
GIAA.JK,channel down,breakout,1.18,5.2,36.6,36.81,,,,,,,
GJTL.JK,channel up,breakout,33.77,0.45,1155.43,1133.66,,,,,,,
GLOB.JK,channel down,breakdown,2.2,0.26,60.0,95.0,,,,,,,
GMFI.JK,channel down,breakout,1.17,3.26,45.5,51.36,,,,,,,
GMTD.JK,channel up,basing,131.21,3.34,3139.22,3086.04,,,,,,,
GOLD.JK,channel down,topping,8.49,0.43,250.97,256.56,,,,,,,
GOLF.JK,channel down,breakout,10.62,0.5,246.27,257.57,,,,,,,
GOOD.JK,channel down,topping,9.93,0.6,387.76,400.01,,,,,,,
GOTO.JK,channel down,breakdown,3.97,0.67,94.39,85.36,,,,,,,
GPRA.JK,channel down,breakout,5.9,0.73,121.0,134.33,,,,,,,
GPSO.JK,channel up,breakout,33.02,0.04,389.34,440.13,,,,,,,
GRIA.JK,channel up,topping,3.51,0.01,88.94,92.87,,,,,,,
GRPH.JK,sideways,basing,0.42,10.9,50.0,50.0,,,,,,,
GRPM.JK,channel down,breakout,4.44,0.29,53.53,65.34,,,,,,,
GSMF.JK,multiple bottoms,basing,1.72,0.04,53.33,56.01,,,,,,,
GTBO.JK,channel up,basing,8.99,0.21,133.09,139.77,,,,,,,
GTRA.JK,channel down,basing,9.24,0.34,128.22,142.09,,,,,,,
GTSI.JK,channel down,basing,1.54,0.14,43.54,47.89,,,,,,,
GULA.JK,channel up,basing,12.1,0.23,311.62,324.08,,,,,,,
GUNA.JK,multiple bottoms,topping,14.48,0.33,247.43,336.76,,,,,,,
GWSA.JK,channel down,basing,3.11,0.4,123.76,125.74,,,,,,,
GZCO.JK,channel down,breakout,4.5,1.63,99.66,100.68,,,,,,,
HADE.JK,multiple bottoms,breakout,0.82,1.09,6.0,6.12,,,,,,,
HAIS.JK,channel down,topping,4.01,1.06,195.06,191.1,,,,,,,
HAJJ.JK,channel down,topping,21.38,3.82,261.17,277.08,,,,,,,
HALO.JK,channel down,basing,1.83,0.23,52.75,53.9,,,,,,,
HATM.JK,channel down,topping,6.97,0.52,253.19,262.3,,,,,,,
HBAT.JK,channel down,breakout,3.96,8.69,39.31,46.32,,,,,,,
HDFA.JK,channel down,basing,4.44,0.0,106.3,106.9,,,,,,,
HDIT.JK,channel down,basing,0.57,2.57,18.35,18.96,,,,,,,
HEAL.JK,channel down,topping,52.0,0.16,1369.0,1410.02,,,,,,,
HELI.JK,channel up,breakout,24.94,0.23,252.59,328.71,,,,,,,
HERO.JK,multiple bottoms,topping,22.28,0.08,379.51,424.0,,,,,,,
HEXA.JK,channel down,breakout,98.05,1.31,5066.44,4988.61,,,,,,,
HGII.JK,channel down,basing,4.98,0.11,192.48,184.34,,,,,,,
HILL.JK,channel down,basing,9.38,0.03,285.23,293.2,,,,,,,
HMSP.JK,channel down,topping,17.14,0.43,664.03,707.23,,,,,,,
HOKI.JK,channel down,topping,4.54,0.5,99.73,102.48,,,,,,,
HOMI.JK,channel down,breakdown,20.94,0.12,174.37,203.51,,,,,,,
HOPE.JK,channel down,breakdown,1.9,0.13,44.43,42.13,,,,,,,
HOTL.JK,sideways,basing,0.0,,50.0,50.0,,,,,,,
HRME.JK,channel down,breakout,1.08,0.11,26.96,31.77,,,,,,,
HRTA.JK,channel up,breakdown,47.75,0.53,615.62,692.84,,,,,,,
HRUM.JK,channel down,topping,43.83,0.67,851.76,867.68,,,,,,,
HUMI.JK,channel down,topping,2.55,0.77,56.0,62.0,,,,,,,
HYGN.JK,channel down,topping,5.23,0.32,130.95,131.1,,,,,,,
IATA.JK,channel down,basing,0.96,0.12,48.56,47.84,,,,,,,
IBFN.JK,channel down,breakout,0.69,0.75,11.75,11.81,,,,,,,
IBOS.JK,multiple bottoms,basing,1.7,1.71,29.0,28.73,,,,,,,
IBST.JK,channel down,breakdown,70.35,0.78,4930.0,7007.69,,,,,,,
ICBP.JK,channel up,basing,345.01,0.54,11508.92,11730.22,,,,,,,
ICON.JK,multiple tops,breakout,1.12,1.06,34.33,36.0,,,,,,,
IDEA.JK,channel down,topping,2.63,0.05,41.54,42.74,,,,,,,
IDPR.JK,channel down,breakout,14.96,6.93,178.04,199.73,,,,,,,
IFII.JK,channel up,basing,18.0,0.09,236.16,311.06,,,,,,,
IFSH.JK,channel down,basing,50.01,0.18,812.63,829.05,,,,,,,
IGAR.JK,channel up,topping,14.86,0.0,544.99,550.05,,,,,,,
IIKP.JK,sideways,basing,0.0,,50.0,50.0,,,,,,,
IKAI.JK,multiple bottoms,topping,0.74,1.26,7.0,9.03,,,,,,,
IKAN.JK,channel down,breakdown,10.79,0.72,59.2,84.74,,,,,,,
IKBI.JK,channel up,breakout,12.96,1.76,380.15,396.26,,,,,,,
IKPM.JK,channel up,basing,13.54,0.06,237.32,252.36,,,,,,,
IMAS.JK,channel up,topping,40.35,0.08,932.02,950.13,,,,,,,
IMJS.JK,channel down,breakout,9.07,0.14,191.3,193.62,,,,,,,
IMPC.JK,symmetrical wedge,basing,16.17,0.86,336.53,343.28,,,,,,,
INAF.JK,sideways,basing,0.0,,126.0,126.0,,,,,,,
INAI.JK,channel down,topping,16.91,0.22,156.81,189.48,,,,,,,
INCF.JK,channel down,basing,1.43,0.02,26.34,34.68,,,,,,,
INCI.JK,channel down,topping,19.48,1.11,625.42,646.89,,,,,,,
INCO.JK,channel down,topping,135.89,0.36,3026.06,3048.82,,,,,,,
INDF.JK,channel up,topping,274.94,0.32,8011.58,8614.29,,,,,,,
INDO.JK,channel up,basing,10.22,0.22,161.6,193.72,,,,,,,
INDR.JK,channel down,basing,118.43,0.3,2441.88,2491.13,,,,,,,
INDS.JK,channel up,breakout,9.91,1.88,241.26,237.97,,,,,,,
INDX.JK,channel down,topping,3.61,0.09,69.0,69.87,,,,,,,
INDY.JK,channel down,topping,77.6,0.64,1636.01,1605.45,,,,,,,
INET.JK,channel down,breakdown,8.88,0.15,174.75,247.39,,,,,,,
INKP.JK,channel down,breakout,261.94,0.47,5835.71,6185.18,,,,,,,
INOV.JK,channel down,topping,4.4,0.27,94.32,99.2,,,,,,,
INPC.JK,channel up,basing,13.12,0.4,205.44,204.79,,,,,,,
INPP.JK,channel up,basing,28.89,0.01,895.0,900.0,,,,,,,
INPS.JK,channel down,topping,3.38,0.07,103.87,104.9,,,,,,,
INRU.JK,channel down,topping,24.57,0.36,403.5,409.35,,,,,,,
INTA.JK,multiple tops,breakout,0.41,6.5,11.51,12.0,,,,,,,
INTD.JK,channel down,topping,10.1,0.0,193.84,188.65,,,,,,,
INTP.JK,channel down,breakout,243.7,0.68,5225.56,5376.0,,,,,,,
IOTF.JK,channel up,breakout,14.74,0.14,193.5,200.67,,,,,,,
IPAC.JK,channel down,breakout,7.92,0.0,126.07,119.94,,,,,,,
IPCC.JK,channel up,topping,43.56,0.44,1109.58,1121.85,,,,,,,
IPCM.JK,channel down,topping,6.5,0.92,293.02,293.3,,,,,,,
IPOL.JK,channel down,topping,5.74,0.08,116.45,115.47,,,,,,,
IPTV.JK,channel down,breakout,1.07,4.28,21.61,25.23,,,,,,,
IRRA.JK,channel down,breakout,12.85,3.09,427.0,430.13,,,,,,,
IRSX.JK,channel down,breakout,1.49,0.53,26.88,29.52,,,,,,,
ISAP.JK,channel down,topping,1.16,0.8,11.41,12.81,,,,,,,
ISAT.JK,channel up,breakout,104.06,0.31,2039.58,2177.98,,,,,,,
ISEA.JK,channel down,basing,6.15,0.29,70.67,77.19,,,,,,,
ISSP.JK,channel up,topping,9.81,0.89,297.71,304.35,,,,,,,
ITIC.JK,channel down,basing,8.16,0.42,236.22,239.51,,,,,,,
ITMA.JK,channel up,topping,70.59,0.45,818.41,886.72,,,,,,,
ITMG.JK,channel down,topping,422.22,0.72,21917.54,22427.57,,,,,,,
JARR.JK,channel up,breakout,18.97,1.48,395.74,410.57,,,,,,,
JAST.JK,channel down,breakout,3.11,0.49,60.31,61.12,,,,,,,
JATI.JK,channel down,breakout,6.63,0.0,50.0,180.0,,,,,,,
JAWA.JK,channel down,breakout,9.1,7.39,106.21,108.74,,,,,,,
JAYA.JK,channel down,topping,2.83,0.21,92.33,92.48,,,,,,,
JECC.JK,channel down,basing,59.89,0.55,882.68,877.03,,,,,,,
JGLE.JK,channel down,basing,0.8,0.12,8.66,9.1,,,,,,,
JIHD.JK,channel up,basing,58.69,0.25,789.63,873.86,,,,,,,
JKON.JK,channel down,topping,3.12,0.64,75.42,75.32,,,,,,,
JKSW.JK,sideways,basing,0.0,,60.0,60.0,,,,,,,
JMAS.JK,channel up,topping,7.87,0.64,131.05,133.37,,,,,,,
JPFA.JK,channel up,topping,67.28,0.29,1705.25,1803.67,,,,,,,
JRPT.JK,multiple tops,topping,14.53,0.83,700.0,724.17,,,,,,,
JSKY.JK,sideways,basing,0.0,,52.0,52.0,,,,,,,
JSMR.JK,channel up,basing,147.63,1.83,4179.91,4308.21,,,,,,,
JSPT.JK,channel up,topping,541.53,0.07,5890.65,5830.84,,,,,,,
JTPE.JK,channel down,topping,4.24,0.35,239.14,240.79,,,,,,,
KAEF.JK,channel down,breakout,23.98,10.94,466.4,480.41,,,,,,,
KAQI.JK,sideways,basing,1.99,,50.0,50.0,,,,,,,
KARW.JK,channel up,breakout,77.51,0.44,1402.65,1768.65,,,,,,,
KAYU.JK,sideways,basing,0.0,,18.0,18.0,,,,,,,
KBAG.JK,channel down,basing,0.78,0.14,32.31,33.15,,,,,,,
KBLI.JK,channel up,basing,8.26,0.13,396.77,397.25,,,,,,,
KBLM.JK,channel up,topping,11.14,0.42,306.67,308.45,,,,,,,
KBLV.JK,channel down,breakdown,12.49,9.24,73.45,85.21,,,,,,,
KBRI.JK,sideways,basing,0.0,,50.0,50.0,,,,,,,
KDSI.JK,channel up,basing,17.51,0.46,452.06,453.28,,,,,,,
KDTN.JK,channel down,topping,3.88,0.01,119.32,121.86,,,,,,,
KEEN.JK,channel up,topping,36.66,0.39,920.54,918.66,,,,,,,
KEJU.JK,channel up,basing,33.24,0.32,635.93,617.14,,,,,,,
KETR.JK,channel down,basing,13.18,1.18,188.43,217.76,,,,,,,
KIAS.JK,multiple bottoms,basing,0.55,1.11,17.0,18.0,,,,,,,
KICI.JK,multiple tops,topping,4.32,0.63,112.65,112.51,,,,,,,
KIJA.JK,channel up,topping,5.35,0.82,181.7,179.76,,,,,,,
KING.JK,channel down,basing,6.26,0.01,205.12,209.51,,,,,,,
KINO.JK,multiple tops,topping,37.28,0.71,1123.76,1122.14,,,,,,,
KIOS.JK,channel down,breakout,1.48,8.13,50.0,53.0,,,,,,,
KJEN.JK,channel down,breakout,9.75,0.06,136.11,136.89,,,,,,,
KKES.JK,multiple tops,breakout,0.81,0.3,15.0,25.0,,,,,,,
KKGI.JK,channel down,breakout,13.76,0.69,379.4,412.98,,,,,,,
KLAS.JK,channel up,topping,6.62,0.74,132.89,144.63,,,,,,,
KLBF.JK,channel down,topping,62.29,0.34,1502.56,1565.44,,,,,,,
KLIN.JK,channel up,basing,4.95,0.13,171.7,174.16,,,,,,,
KMDS.JK,channel up,breakout,31.51,0.14,617.09,640.31,,,,,,,
KMTR.JK,channel up,breakout,22.63,3.87,276.56,282.78,,,,,,,
KOBX.JK,channel down,basing,11.02,0.32,160.46,169.11,,,,,,,
KOCI.JK,channel down,breakout,2.89,0.96,50.0,55.0,,,,,,,
KOIN.JK,sideways,basing,0.05,0.03,65.0,65.0,,,,,,,
KOKA.JK,channel up,breakout,5.81,0.44,81.81,85.44,,,,,,,
KONI.JK,channel down,topping,126.75,0.17,1388.48,1814.17,,,,,,,
KOPI.JK,channel up,breakdown,40.94,0.58,971.94,881.4,,,,,,,
KOTA.JK,channel down,topping,0.76,0.54,9.61,11.73,,,,,,,
KPAL.JK,sideways,basing,0.0,,50.0,50.0,,,,,,,
KPAS.JK,sideways,basing,0.0,,62.0,62.0,,,,,,,
KPIG.JK,channel up,basing,5.88,0.05,129.91,129.87,,,,,,,
KRAH.JK,sideways,basing,0.0,,436.0,436.0,,,,,,,
KRAS.JK,channel down,topping,6.35,0.3,132.7,133.27,,,,,,,
KREN.JK,channel down,basing,0.56,0.05,7.62,10.06,,,,,,,
KRYA.JK,channel down,basing,7.47,0.0,71.13,72.38,,,,,,,
KSIX.JK,channel down,basing,10.88,0.09,200.36,201.67,,,,,,,
KUAS.JK,multiple bottoms,topping,1.69,0.28,50.78,52.87,,,,,,,
LABA.JK,channel up,breakdown,11.98,0.28,174.8,172.21,,,,,,,
LABS.JK,channel down,topping,3.08,0.41,125.8,129.17,,,,,,,
LAJU.JK,channel down,breakout,1.26,49.69,50.0,61.0,,,,,,,
LAND.JK,channel down,breakout,1.36,5.12,24.36,25.48,,,,,,,
LAPD.JK,channel down,breakout,1.74,9.85,31.0,42.0,,,,,,,
LCGP.JK,sideways,basing,0.0,,114.0,114.0,,,,,,,
LCKM.JK,channel down,breakdown,12.1,0.18,199.86,207.88,,,,,,,
LEAD.JK,channel up,breakdown,5.54,0.38,95.8,99.88,,,,,,,
LIFE.JK,channel up,basing,310.69,0.05,6140.0,6260.03,,,,,,,
LINK.JK,channel down,breakdown,54.59,0.06,1353.33,1763.64,,,,,,,
LION.JK,channel down,topping,25.49,0.05,447.57,436.11,,,,,,,
LIVE.JK,channel down,topping,9.94,0.24,143.66,147.38,,,,,,,
LMAX.JK,channel down,breakout,4.17,5.69,44.66,54.7,,,,,,,
LMPI.JK,channel down,breakout,17.86,0.12,132.33,154.02,,,,,,,
LPCK.JK,channel down,topping,20.35,0.97,521.5,545.36,,,,,,,
LPGI.JK,channel down,breakout,44.86,1.79,438.68,489.1,,,,,,,
LPIN.JK,channel down,breakout,13.25,0.59,369.55,394.02,,,,,,,
LPKR.JK,channel down,breakout,4.32,0.8,90.89,98.4,,,,,,,
LPLI.JK,channel down,topping,12.96,0.25,310.18,304.05,,,,,,,
LPPF.JK,channel down,topping,75.7,0.36,1903.49,1967.86,,,,,,,
LPPS.JK,channel down,basing,2.96,0.23,59.35,59.14,,,,,,,
LRNA.JK,channel down,basing,8.68,0.08,136.5,145.21,,,,,,,
LSIP.JK,channel down,topping,40.33,0.53,1228.0,1276.37,,,,,,,
LTLS.JK,channel down,topping,27.4,1.54,966.05,988.51,,,,,,,
LUCK.JK,channel down,topping,4.86,0.59,74.54,77.56,,,,,,,
LUCY.JK,channel down,breakdown,6.69,0.28,148.33,148.87,,,,,,,
MAHA.JK,multiple bottoms,topping,5.11,0.64,161.51,179.79,,,,,,,
MAIN.JK,channel up,topping,25.09,0.18,725.4,726.51,,,,,,,
MANG.JK,channel down,breakout,2.54,0.19,32.57,35.95,,,,,,,
MAPA.JK,channel up,breakdown,41.23,0.72,782.66,743.12,,,,,,,
MAPB.JK,channel down,topping,14.59,3.04,1015.0,1289.29,,,,,,,
MAPI.JK,channel up,basing,61.31,0.38,1433.51,1359.59,,,,,,,
MARI.JK,sideways,basing,0.0,6.97,50.0,50.0,,,,,,,
MARK.JK,channel up,topping,28.86,0.29,790.18,809.81,,,,,,,
MASB.JK,channel down,topping,33.89,0.11,3230.0,3400.0,,,,,,,
MAXI.JK,multiple tops,basing,1.39,0.53,50.0,51.0,,,,,,,
MBAP.JK,channel down,breakout,90.09,0.89,1987.23,2117.14,,,,,,,
MBMA.JK,channel down,breakout,21.94,0.69,367.43,372.8,,,,,,,
MBTO.JK,channel down,topping,4.41,0.51,76.48,74.87,,,,,,,
MCAS.JK,channel down,breakout,61.65,0.19,1426.28,1530.73,,,,,,,
MCOL.JK,multiple tops,breakdown,118.07,0.6,4842.81,5074.35,,,,,,,
MCOR.JK,channel down,topping,2.53,0.41,72.44,72.38,,,,,,,
MDIA.JK,channel down,topping,1.26,0.0,24.36,27.09,,,,,,,
MDIY.JK,channel down,basing,60.69,0.09,1729.42,1667.07,,,,,,,
MDKA.JK,channel down,breakout,117.8,0.71,2018.43,2062.01,,,,,,,
MDKI.JK,channel down,topping,3.1,1.79,164.62,168.1,,,,,,,
MDLA.JK,insufficient data,breakout,8.11,,,,,,,,,,
MDLN.JK,channel down,topping,1.91,2.02,50.0,60.0,,,,,,,
MDRN.JK,multiple tops,topping,0.77,0.01,7.0,8.0,,,,,,,
MEDC.JK,channel up,topping,41.36,0.55,1143.21,1161.76,,,,,,,
MEDS.JK,sideways,basing,0.0,2.89,50.0,50.0,,,,,,,
MEGA.JK,channel down,topping,66.96,1.27,3550.41,3563.56,,,,,,,
MENN.JK,channel down,basing,2.64,0.27,41.35,41.63,,,,,,,
MERK.JK,channel down,topping,61.04,1.87,3723.76,3705.16,,,,,,,
MFIN.JK,channel up,topping,169.6,0.18,3855.88,4074.7,,,,,,,
MGLV.JK,channel down,breakout,10.85,1.49,125.74,144.11,,,,,,,
MGNA.JK,channel down,breakout,1.18,0.18,30.23,30.17,,,,,,,
MGRO.JK,channel down,basing,17.58,0.2,725.15,761.93,,,,,,,
MHKI.JK,channel down,topping,6.11,0.18,119.35,142.29,,,,,,,
MIDI.JK,channel up,basing,17.8,0.37,485.71,450.04,,,,,,,
MIKA.JK,channel down,basing,102.17,0.19,2612.73,2736.36,,,,,,,
MINA.JK,channel up,breakdown,9.74,0.4,103.79,98.17,,,,,,,
MINE.JK,channel up,topping,45.24,,541.76,569.91,,,,,,,
MIRA.JK,channel down,breakout,0.65,3.35,10.0,11.0,,,,,,,
MITI.JK,channel down,basing,9.49,0.61,163.34,167.48,,,,,,,
MKAP.JK,multiple bottoms,basing,4.86,0.06,251.33,329.43,,,,,,,
MKPI.JK,multiple tops,topping,547.41,0.81,24147.26,25293.58,,,,,,,
MKTR.JK,channel down,basing,3.82,2.3,111.78,115.04,,,,,,,
MLBI.JK,channel down,topping,107.82,0.14,6367.19,6300.0,,,,,,,
MLIA.JK,channel down,topping,5.8,0.62,277.31,277.46,,,,,,,
MLPL.JK,channel down,topping,5.6,0.17,113.46,114.28,,,,,,,
MLPT.JK,channel up,breakdown,1573.93,0.15,28856.25,32266.67,,,,,,,
MMIX.JK,channel down,topping,12.26,0.06,159.62,166.89,,,,,,,
MMLP.JK,channel down,basing,16.28,0.2,529.75,496.47,,,,,,,
MNCN.JK,channel down,topping,10.3,0.88,266.38,287.92,,,,,,,
MOLI.JK,channel down,basing,11.41,0.38,200.95,229.07,,,,,,,
MORA.JK,channel down,basing,19.53,0.06,439.39,435.62,,,,,,,
MPIX.JK,channel down,breakout,4.48,1.05,65.92,69.93,,,,,,,
MPMX.JK,channel down,topping,15.72,0.95,1056.82,1077.3,,,,,,,
MPOW.JK,channel down,basing,15.2,0.28,130.8,153.34,,,,,,,
MPPA.JK,multiple bottoms,basing,2.23,0.12,51.36,54.78,,,,,,,
MPRO.JK,multiple tops,topping,32.58,0.65,1999.09,2030.0,,,,,,,
MPXL.JK,channel down,basing,7.71,0.3,120.24,125.72,,,,,,,
MRAT.JK,channel down,basing,12.36,0.32,249.54,253.73,,,,,,,
MREI.JK,channel down,basing,55.45,3.94,774.49,741.65,,,,,,,
MSIE.JK,channel down,breakout,1.39,0.61,15.9,17.76,,,,,,,
MSIN.JK,channel down,topping,43.86,2.79,473.74,482.31,,,,,,,
MSJA.JK,channel down,topping,8.11,0.39,288.22,305.33,,,,,,,
MSKY.JK,channel down,topping,2.89,0.47,54.86,58.94,,,,,,,
MSTI.JK,channel up,basing,35.37,2.93,1450.8,1476.35,,,,,,,
MTDL.JK,multiple tops,topping,19.8,0.38,582.38,571.9,,,,,,,
MTEL.JK,channel down,breakout,23.31,0.47,654.15,675.06,,,,,,,
MTFN.JK,multiple tops,topping,0.51,0.5,4.0,5.0,,,,,,,
MTLA.JK,multiple bottoms,basing,10.81,0.07,428.67,425.21,,,,,,,
MTMH.JK,channel down,topping,30.38,0.63,928.0,953.4,,,,,,,
MTPS.JK,channel down,breakout,0.78,2.2,12.67,19.0,,,,,,,
MTWI.JK,channel up,topping,5.79,0.06,161.65,160.35,,,,,,,
MUTU.JK,channel down,topping,5.15,0.02,106.08,107.01,,,,,,,
MYOH.JK,channel up,basing,44.69,0.08,1729.53,1726.47,,,,,,,
MYOR.JK,channel up,topping,91.65,0.27,2385.5,2435.92,,,,,,,
NAIK.JK,channel up,breakdown,41.99,2.94,320.39,309.93,,,,,,,
NANO.JK,channel down,basing,2.05,0.71,27.2,27.21,,,,,,,
NASA.JK,multiple bottoms,topping,0.76,0.53,15.0,16.86,,,,,,,
NASI.JK,channel down,topping,4.53,0.19,85.06,89.75,,,,,,,
NATO.JK,channel down,topping,6.14,0.03,155.23,155.12,,,,,,,
NAYZ.JK,channel down,breakout,4.81,0.71,44.45,35.96,,,,,,,
