symbol,pattern,stage,atr,relative_volume,support,resistance,sma_change_5,sma_change_10,sma_change_20,sma_change_50,sma_change_100,sma_change_200,error
NCKL.JK,channel down,topping,33.88,1.63,718.45,714.07,,,,,,,
NELY.JK,channel up,topping,12.73,0.48,364.0,464.93,,,,,,,
NEST.JK,channel up,breakdown,14.74,0.15,334.03,336.58,,,,,,,
NETV.JK,channel down,basing,12.22,0.18,166.78,189.32,,,,,,,
NFCX.JK,channel down,topping,136.44,0.07,1917.63,2019.56,,,,,,,
NICE.JK,channel down,breakout,20.4,3.63,323.51,331.17,,,,,,,
NICK.JK,multiple tops,basing,34.09,0.03,676.03,714.04,,,,,,,
NIKL.JK,channel down,topping,16.69,0.22,246.52,261.31,,,,,,,
NINE.JK,channel up,breakdown,15.67,0.54,89.77,116.72,,,,,,,
NIRO.JK,channel down,basing,2.36,0.0,121.0,122.2,,,,,,,
NISP.JK,channel up,topping,24.09,0.22,1348.46,1301.11,,,,,,,
NOBU.JK,channel up,breakout,28.72,0.37,707.04,714.31,,,,,,,
NPGF.JK,channel down,basing,0.77,0.8,26.29,30.36,,,,,,,
NRCA.JK,channel up,topping,8.39,1.24,354.36,357.75,,,,,,,
NSSS.JK,channel up,topping,12.02,0.09,286.99,286.56,,,,,,,
NTBK.JK,sideways,basing,0.0,0.21,50.0,50.0,,,,,,,
NZIA.JK,channel down,topping,4.98,1.35,64.54,69.7,,,,,,,
OASA.JK,channel down,topping,9.21,1.55,144.56,150.77,,,,,,,
OBAT.JK,channel down,breakdown,36.78,0.03,561.34,504.61,,,,,,,
OBMD.JK,channel up,topping,9.37,0.07,199.82,202.2,,,,,,,
OILS.JK,channel down,breakout,4.79,0.8,99.5,97.73,,,,,,,
OKAS.JK,channel down,basing,5.88,0.14,120.43,133.68,,,,,,,
OLIV.JK,channel down,topping,1.88,0.11,22.89,23.89,,,,,,,
OMED.JK,channel down,breakout,5.34,1.22,170.68,169.18,,,,,,,
OPMS.JK,channel down,breakout,7.23,0.67,93.6,87.0,,,,,,,
PACK.JK,channel up,basing,167.52,0.23,2305.24,2406.21,,,,,,,
PADA.JK,multiple bottoms,breakout,0.94,1.62,10.0,20.0,,,,,,,
PADI.JK,channel down,breakout,2.27,0.13,37.8,48.05,,,,,,,
PALM.JK,channel down,topping,16.52,0.14,388.24,386.13,,,,,,,
PAMG.JK,channel down,breakout,5.79,0.22,74.06,88.94,,,,,,,
PANI.JK,channel up,topping,629.06,0.46,12812.74,12708.56,,,,,,,
PANR.JK,channel up,breakdown,37.43,0.37,772.81,883.76,,,,,,,
PANS.JK,channel down,breakout,51.86,0.32,1534.84,1573.18,,,,,,,
PART.JK,channel down,topping,5.55,1.79,95.04,94.93,,,,,,,
PBID.JK,channel up,topping,19.85,1.47,539.12,552.4,,,,,,,
PBRX.JK,channel down,topping,0.55,1.83,23.0,27.0,,,,,,,
PBSA.JK,channel up,breakout,15.7,0.91,396.25,398.45,,,,,,,
PCAR.JK,sideways,basing,0.0,1.41,50.0,50.0,,,,,,,
PDES.JK,channel down,basing,31.48,0.16,422.31,464.83,,,,,,,
PEGE.JK,channel down,topping,7.22,0.3,121.52,124.77,,,,,,,
PEHA.JK,channel down,breakout,10.57,6.02,266.97,261.18,,,,,,,
PEVE.JK,channel up,topping,18.59,0.76,358.76,374.53,,,,,,,
PGAS.JK,channel down,breakout,48.42,0.79,1729.53,1739.18,,,,,,,
PGEO.JK,channel up,breakout,65.16,8.84,1004.57,1285.1,,,,,,,
PGJO.JK,channel up,breakout,20.87,0.0,160.0,530.0,,,,,,,
PGLI.JK,channel down,basing,6.92,0.31,129.53,124.41,,,,,,,
PGUN.JK,channel down,basing,50.36,1.71,596.16,643.19,,,,,,,
PICO.JK,channel down,breakout,8.16,22.89,111.42,124.6,,,,,,,
PIPA.JK,channel down,breakout,4.42,1.62,74.04,82.87,,,,,,,
PJAA.JK,channel down,basing,14.59,0.68,490.87,529.57,,,,,,,
PKPK.JK,multiple bottoms,basing,28.32,0.18,747.34,736.51,,,,,,,
PLAN.JK,channel down,topping,3.99,0.42,40.24,38.75,,,,,,,
PMJS.JK,channel down,basing,6.17,1.3,122.6,129.98,,,,,,,
PMMP.JK,channel down,basing,4.29,0.2,54.64,69.38,,,,,,,
PNBN.JK,channel down,breakdown,86.29,1.75,1342.65,1308.11,,,,,,,
PNBS.JK,sideways,basing,0.39,0.13,50.0,51.0,,,,,,,
PNGO.JK,channel up,topping,89.4,0.7,1833.06,1855.06,,,,,,,
PNIN.JK,channel down,basing,45.64,0.17,947.51,986.54,,,,,,,
PNLF.JK,channel down,basing,23.62,1.71,321.13,333.96,,,,,,,
PNSE.JK,channel up,topping,38.34,0.24,369.34,428.18,,,,,,,
POLA.JK,channel down,breakout,0.92,0.88,15.57,17.43,,,,,,,
POLI.JK,sideways,basing,0.32,0.0,750.0,750.0,,,,,,,
POLL.JK,sideways,basing,0.0,,112.0,112.0,,,,,,,
POLU.JK,sideways,basing,80.08,0.0,8825.0,8825.0,,,,,,,
POLY.JK,channel down,breakout,1.25,4.37,10.0,29.33,,,,,,,
POOL.JK,sideways,basing,0.0,,50.0,50.0,,,,,,,
PORT.JK,channel up,basing,54.48,0.32,833.57,857.3,,,,,,,
POSA.JK,sideways,basing,0.0,,50.0,50.0,,,,,,,
POWR.JK,channel down,topping,14.11,2.41,734.38,738.47,,,,,,,
PPGL.JK,channel down,breakout,3.89,1.0,98.6,95.48,,,,,,,
PPRE.JK,channel down,topping,3.37,0.39,62.75,60.96,,,,,,,
PPRI.JK,channel up,topping,23.85,0.12,199.77,265.05,,,,,,,
PPRO.JK,sideways,basing,0.0,,21.0,21.0,,,,,,,
PRAS.JK,sideways,basing,0.0,,97.0,97.0,,,,,,,
PRAY.JK,multiple bottoms,topping,10.67,0.87,609.09,630.0,,,,,,,
PRDA.JK,channel down,breakout,74.36,1.01,2631.73,2622.24,,,,,,,
PRIM.JK,channel down,breakout,3.33,1.77,60.74,66.12,,,,,,,
PSAB.JK,channel up,basing,15.56,0.28,311.53,293.31,,,,,,,
PSDN.JK,channel down,breakout,4.22,0.13,71.9,77.54,,,,,,,
PSGO.JK,channel up,basing,9.32,0.93,179.72,199.46,,,,,,,
PSKT.JK,multiple tops,breakout,1.51,0.12,29.01,35.0,,,,,,,
PSSI.JK,channel down,topping,12.16,0.73,362.47,382.86,,,,,,,
PTBA.JK,channel down,breakout,68.86,1.14,2727.57,2913.14,,,,,,,
PTDU.JK,channel down,topping,1.0,2.17,9.0,22.0,,,,,,,
PTIS.JK,channel down,breakdown,24.57,0.14,356.43,355.48,,,,,,,
PTMP.JK,channel down,topping,2.73,2.24,62.2,65.6,,,,,,,
PTMR.JK,channel up,basing,4.65,0.78,136.72,149.57,,,,,,,
PTPP.JK,channel down,breakout,25.25,1.23,465.46,477.8,,,,,,,
PTPS.JK,channel down,breakout,4.36,1.51,89.9,93.9,,,,,,,
PTPW.JK,channel down,topping,9.83,0.84,923.65,945.5,,,,,,,
PTRO.JK,channel up,breakout,192.89,0.61,3311.11,3315.89,,,,,,,
PTSN.JK,channel up,topping,8.0,0.02,224.84,236.7,,,,,,,
PTSP.JK,channel down,breakout,54.79,0.79,763.75,756.4,,,,,,,
PUDP.JK,channel up,topping,14.27,0.0,223.68,227.9,,,,,,,
PURA.JK,channel down,topping,0.87,0.55,15.12,17.58,,,,,,,
PURE.JK,sideways,basing,0.0,,51.0,51.0,,,,,,,
PURI.JK,channel down,topping,10.6,0.05,207.19,210.32,,,,,,,
PWON.JK,channel down,topping,11.96,0.53,417.83,409.59,,,,,,,
PYFA.JK,channel down,breakout,14.85,1.05,228.99,243.52,,,,,,,
RAAM.JK,channel down,breakdown,14.61,0.16,313.34,309.59,,,,,,,
RAFI.JK,channel down,breakdown,0.93,2.95,23.9,27.06,,,,,,,
RAJA.JK,channel up,topping,142.26,0.48,2387.23,2479.87,,,,,,,
RALS.JK,channel down,topping,15.43,3.94,469.85,478.65,,,,,,,
RANC.JK,channel down,topping,16.34,0.03,417.24,434.99,,,,,,,
RATU.JK,channel down,breakout,399.92,0.62,6397.92,6538.7,,,,,,,
RBMS.JK,channel down,basing,0.9,0.67,23.55,25.5,,,,,,,
RCCC.JK,channel up,topping,6.76,0.02,123.7,127.92,,,,,,,
RDTX.JK,channel up,topping,454.12,0.19,11728.22,11830.3,,,,,,,
REAL.JK,channel down,basing,2.48,0.24,26.0,44.56,,,,,,,
RELF.JK,channel down,basing,1.25,0.61,20.41,20.75,,,,,,,
RGAS.JK,channel up,topping,5.33,0.15,113.06,114.56,,,,,,,
RICY.JK,channel down,basing,1.1,0.16,43.0,50.0,,,,,,,
RIGS.JK,channel up,basing,32.57,0.11,734.58,708.43,,,,,,,
RISE.JK,channel up,topping,12.93,1.4,1046.88,1067.63,,,,,,,
RMKE.JK,multiple tops,basing,15.62,1.13,519.52,521.21,,,,,,,
RMKO.JK,multiple tops,basing,4.35,0.35,88.68,92.17,,,,,,,
RODA.JK,channel down,basing,0.86,0.01,39.01,40.82,,,,,,,
ROTI.JK,channel down,basing,20.06,0.26,830.23,814.0,,,,,,,
RSCH.JK,channel up,basing,20.63,1.93,486.0,494.88,,,,,,,
RUIS.JK,channel down,topping,6.04,0.29,176.01,173.79,,,,,,,
RUNS.JK,channel down,topping,2.89,0.42,48.66,49.04,,,,,,,
SAFE.JK,channel up,breakout,13.79,0.18,169.49,188.09,,,,,,,
SAGE.JK,channel down,topping,0.73,0.8,15.94,16.28,,,,,,,
SAME.JK,channel down,basing,12.95,0.46,294.38,302.11,,,,,,,
SAMF.JK,channel up,topping,16.39,0.62,356.0,345.13,,,,,,,
SAPX.JK,channel up,basing,21.9,0.03,374.21,369.3,,,,,,,
SATU.JK,channel up,basing,6.69,0.32,197.0,213.27,,,,,,,
SBMA.JK,channel down,basing,4.19,0.32,117.65,119.67,,,,,,,
SCCO.JK,channel down,basing,47.88,1.91,2225.16,2214.28,,,,,,,
SCMA.JK,channel down,breakdown,9.15,1.22,185.95,210.8,,,,,,,
SCNP.JK,multiple bottoms,topping,8.9,0.0,156.59,160.73,,,,,,,
SDMU.JK,multiple tops,topping,0.63,0.52,25.0,26.0,,,,,,,
SDPC.JK,channel down,topping,3.76,1.13,130.97,129.38,,,,,,,
SDRA.JK,channel down,topping,10.66,0.09,363.71,363.73,,,,,,,
SEMA.JK,channel down,breakout,5.09,0.57,84.56,87.78,,,,,,,
SFAN.JK,channel up,topping,9.16,0.63,1923.75,1926.87,,,,,,,
SGER.JK,channel up,topping,21.0,0.27,356.93,376.83,,,,,,,
SGRO.JK,channel down,breakout,111.25,6.55,3078.38,3160.24,,,,,,,
SHID.JK,channel down,basing,35.75,0.15,764.82,748.35,,,,,,,
SHIP.JK,channel up,basing,129.92,0.03,1717.63,1800.33,,,,,,,
SICO.JK,multiple bottoms,topping,3.84,0.4,94.02,105.04,,,,,,,
SIDO.JK,channel down,topping,16.99,0.4,539.7,559.73,,,,,,,
SILO.JK,channel up,basing,92.93,0.16,2410.23,2406.73,,,,,,,
SIMA.JK,sideways,basing,0.0,,50.0,50.0,,,,,,,
SIMP.JK,channel down,topping,9.22,1.35,427.25,428.11,,,,,,,
SINI.JK,channel up,breakout,139.4,0.47,3579.92,3639.12,,,,,,,
SIPD.JK,channel down,basing,20.85,0.43,802.6,799.03,,,,,,,
SKBM.JK,channel down,basing,27.19,0.18,338.46,400.51,,,,,,,
SKLT.JK,channel down,basing,9.2,0.08,191.47,201.08,,,,,,,
SKRN.JK,channel down,breakdown,22.53,0.37,417.5,493.79,,,,,,,
SKYB.JK,sideways,basing,0.0,,51.0,51.0,,,,,,,
SLIS.JK,channel down,basing,0.98,0.98,50.0,52.0,,,,,,,
SMAR.JK,channel down,basing,93.37,1.25,3672.73,3672.9,,,,,,,
SMBR.JK,channel down,basing,18.0,0.35,245.73,276.28,,,,,,,
SMCB.JK,sideways,basing,0.07,,775.0,775.0,,,,,,,
SMDM.JK,channel up,topping,127.6,0.34,1466.45,1460.37,,,,,,,
SMDR.JK,channel down,breakout,12.99,1.99,275.64,304.6,,,,,,,
SMGA.JK,channel down,breakout,5.55,2.26,82.53,82.41,,,,,,,
SMGR.JK,channel down,breakout,129.53,0.86,2624.25,2636.89,,,,,,,
SMIL.JK,channel up,basing,26.49,0.27,237.52,212.94,,,,,,,
SMKL.JK,multiple tops,topping,5.92,0.12,152.21,152.14,,,,,,,
SMKM.JK,channel down,breakout,3.64,3.66,44.97,47.46,,,,,,,
SMLE.JK,channel down,topping,5.28,0.27,116.7,125.16,,,,,,,
SMMA.JK,multiple bottoms,topping,318.92,1.25,15350.0,16350.0,,,,,,,
SMMT.JK,multiple tops,breakdown,32.93,1.44,893.75,937.22,,,,,,,
SMRA.JK,channel down,basing,15.41,1.66,452.57,468.91,,,,,,,
SMSM.JK,channel up,topping,52.49,0.72,1927.48,1999.48,,,,,,,
SNLK.JK,channel down,basing,29.66,0.85,596.51,609.79,,,,,,,
SOCI.JK,channel down,topping,5.79,0.13,164.76,167.93,,,,,,,
SOFA.JK,channel up,breakout,6.38,2.34,52.0,62.25,,,,,,,
SOHO.JK,channel up,breakout,50.81,0.11,674.23,751.29,,,,,,,
SOLA.JK,channel down,breakout,7.68,1.06,131.67,141.51,,,,,,,
SONA.JK,channel up,basing,242.59,0.04,3973.22,3795.23,,,,,,,
SOSS.JK,channel up,topping,35.26,2.85,425.9,395.47,,,,,,,
SOTS.JK,channel down,basing,16.77,0.11,297.86,302.91,,,,,,,
SOUL.JK,channel up,basing,2.96,0.4,38.74,41.38,,,,,,,
SPMA.JK,channel down,topping,6.89,0.27,258.33,262.3,,,,,,,
SPRE.JK,channel down,breakout,9.93,0.34,230.8,236.57,,,,,,,
SPTO.JK,channel up,topping,21.35,0.34,700.48,729.7,,,,,,,
SQMI.JK,channel down,basing,1.96,0.41,52.41,58.71,,,,,,,
SRAJ.JK,multiple tops,basing,61.56,0.0,3280.89,3021.79,,,,,,,
SRIL.JK,sideways,basing,0.0,,146.0,146.0,,,,,,,
SRSN.JK,channel down,breakdown,1.3,0.72,50.0,55.0,,,,,,,
SRTG.JK,channel down,breakout,94.3,2.34,1657.6,1785.09,,,,,,,
SSIA.JK,channel up,breakout,39.52,0.41,886.13,850.04,,,,,,,
SSMS.JK,channel down,topping,78.29,0.89,1448.34,1507.11,,,,,,,
SSTM.JK,channel down,breakout,17.38,0.8,156.57,224.85,,,,,,,
STAA.JK,channel down,basing,27.65,1.58,793.11,850.16,,,,,,,
STAR.JK,channel down,breakout,2.58,0.37,32.79,50.16,,,,,,,
stocklist,,,,,,,,,,,,,'Date'
STRK.JK,channel down,breakout,2.72,1.05,50.0,69.0,,,,,,,
STTP.JK,channel up,basing,432.96,0.07,11212.85,11460.94,,,,,,,
SUGI.JK,sideways,basing,0.0,,50.0,50.0,,,,,,,
SULI.JK,channel down,breakout,8.29,0.37,89.64,92.01,,,,,,,
SUNI.JK,channel up,topping,24.27,0.49,776.62,786.58,,,,,,,
SUPR.JK,sideways,basing,0.16,0.0,43850.0,43850.0,,,,,,,
SURE.JK,multiple bottoms,topping,113.81,0.15,2244.56,2452.06,,,,,,,
SURI.JK,multiple bottoms,topping,3.19,0.68,50.0,65.6,,,,,,,
SWAT.JK,channel down,topping,1.96,0.46,24.91,34.78,,,,,,,
SWID.JK,multiple bottoms,basing,2.9,0.46,57.99,60.0,,,,,,,
TALF.JK,channel down,topping,16.23,0.05,300.17,308.66,,,,,,,
TAMA.JK,channel down,topping,1.35,0.27,30.27,35.65,,,,,,,
TAMU.JK,multiple bottoms,breakout,0.81,1.01,12.0,10.83,,,,,,,
TAPG.JK,channel up,breakout,37.56,0.82,965.22,1058.26,,,,,,,
TARA.JK,channel down,topping,0.73,11.68,7.63,8.68,,,,,,,
TAXI.JK,multiple tops,basing,0.6,0.52,7.0,8.0,,,,,,,
TAYS.JK,channel down,basing,4.85,0.63,50.0,70.0,,,,,,,
TBIG.JK,channel down,basing,62.53,0.26,2137.27,2238.72,,,,,,,
TBLA.JK,channel down,topping,27.14,0.21,774.35,758.75,,,,,,,
TBMS.JK,multiple bottoms,basing,18.54,0.41,873.12,901.55,,,,,,,
TCPI.JK,channel down,basing,255.9,0.64,5997.58,5999.64,,,,,,,
TDPM.JK,sideways,basing,0.0,,119.0,119.0,,,,,,,
TEBE.JK,channel down,basing,33.42,0.75,678.15,672.67,,,,,,,
TECH.JK,sideways,basing,0.0,,50.0,50.0,,,,,,,
TELE.JK,sideways,basing,0.0,,9.0,9.0,,,,,,,
TFAS.JK,channel down,breakout,8.86,0.17,135.69,134.98,,,,,,,
TFCO.JK,sideways,basing,0.13,0.0,500.0,500.0,,,,,,,
TGKA.JK,channel down,basing,306.87,0.83,6597.78,7126.87,,,,,,,
TGRA.JK,multiple bottoms,breakdown,0.74,0.26,31.0,40.0,,,,,,,
TGUK.JK,channel down,breakout,9.14,2.38,78.84,109.77,,,,,,,
TIFA.JK,channel up,basing,12.75,0.0,588.75,699.62,,,,,,,
TINS.JK,channel down,topping,58.47,0.76,1229.13,1255.71,,,,,,,
TIRA.JK,channel up,breakdown,117.27,0.01,2657.98,2602.39,,,,,,,
TKIM.JK,channel down,breakout,214.92,1.2,5959.79,5973.22,,,,,,,
TLDN.JK,channel down,topping,20.97,0.73,570.43,626.88,,,,,,,
TLKM.JK,channel down,breakout,84.98,0.45,2704.95,2848.4,,,,,,,
TMAS.JK,channel down,basing,5.23,0.69,144.65,146.27,,,,,,,
TMPO.JK,channel up,topping,5.25,0.05,122.33,123.83,,,,,,,
TNCA.JK,channel down,topping,11.81,0.13,171.49,177.77,,,,,,,
TOBA.JK,channel down,breakout,23.41,1.59,440.94,476.84,,,,,,,
TOOL.JK,multiple tops,topping,1.18,0.08,50.0,51.9,,,,,,,
TOSK.JK,sideways,basing,0.02,0.33,50.0,50.0,,,,,,,
TOTL.JK,channel up,breakout,29.29,1.41,768.14,741.99,,,,,,,
TOTO.JK,channel down,topping,5.01,0.91,235.58,238.84,,,,,,,
TOWR.JK,channel down,basing,23.83,0.64,639.02,645.88,,,,,,,
TPIA.JK,channel up,breakout,450.59,0.96,8959.63,9605.46,,,,,,,
TPMA.JK,channel up,breakdown,25.56,0.74,690.12,752.33,,,,,,,
TRGU.JK,channel down,basing,6.44,0.33,177.06,177.74,,,,,,,
TRIM.JK,channel up,topping,12.07,1.0,374.63,370.98,,,,,,,
TRIN.JK,channel down,breakout,8.06,21.67,97.3,107.88,,,,,,,
TRIS.JK,channel down,topping,4.21,0.08,160.35,165.07,,,,,,,
TRJA.JK,channel down,basing,5.97,0.53,149.64,147.09,,,,,,,
TRON.JK,channel down,basing,8.53,0.22,135.07,142.17,,,,,,,
TRST.JK,channel down,basing,15.13,0.44,470.31,494.82,,,,,,,
TRUE.JK,channel down,breakout,0.53,1.61,15.86,17.05,,,,,,,
TRUK.JK,channel down,breakout,6.82,0.35,115.6,125.05,,,,,,,
TRUS.JK,channel up,basing,57.95,0.0,494.44,512.4,,,,,,,
TSPC.JK,channel up,topping,64.78,0.62,2569.68,2834.45,,,,,,,
TUGU.JK,channel up,topping,30.27,0.44,1031.57,1116.49,,,,,,,
TYRE.JK,channel up,basing,5.93,0.73,158.02,157.62,,,,,,,
UANG.JK,channel down,topping,19.27,0.24,278.0,284.57,,,,,,,
UCID.JK,channel down,basing,16.52,0.98,543.7,561.18,,,,,,,
UDNG.JK,symmetrical wedge,breakout,9.74,0.17,112.0,308.0,,,,,,,
UFOE.JK,channel down,topping,6.69,0.06,202.75,205.52,,,,,,,
ULTJ.JK,channel up,basing,34.49,1.97,1383.25,1366.84,,,,,,,
UNIC.JK,channel down,breakout,373.64,1.34,7911.31,8609.54,,,,,,,
UNIQ.JK,channel up,breakout,25.81,0.86,384.89,374.4,,,,,,,
UNTD.JK,channel down,topping,4.44,0.56,92.44,99.29,,,,,,,
UNTR.JK,channel down,topping,564.74,0.28,22423.19,22595.67,,,,,,,
UNVR.JK,channel down,basing,76.17,0.12,2067.57,1999.29,,,,,,,
URBN.JK,channel down,breakout,6.7,1.11,121.43,126.31,,,,,,,
UVCR.JK,channel down,breakout,6.64,0.27,54.66,76.65,,,,,,,
VAST.JK,channel up,topping,8.46,0.05,112.78,123.23,,,,,,,
VERN.JK,channel down,basing,6.16,0.19,101.22,108.77,,,,,,,
VICI.JK,multiple bottoms,topping,14.65,1.39,619.81,622.28,,,,,,,
VICO.JK,symmetrical wedge,topping,8.75,0.14,131.19,144.69,,,,,,,
VINS.JK,channel down,basing,4.1,0.01,113.12,120.33,,,,,,,
VISI.JK,channel down,topping,7.2,0.09,129.26,138.49,,,,,,,
VIVA.JK,channel down,topping,0.81,0.76,10.45,10.86,,,,,,,
VKTR.JK,channel down,breakdown,5.75,0.33,98.79,96.59,,,,,,,
VOKS.JK,channel up,topping,9.37,0.35,202.07,204.22,,,,,,,
VTNY.JK,channel down,basing,7.16,0.61,127.7,127.6,,,,,,,
WAPO.JK,channel down,breakout,17.56,0.36,146.76,191.45,,,,,,,
WEGE.JK,channel down,topping,3.5,1.12,62.22,66.35,,,,,,,
WEHA.JK,channel down,basing,4.46,0.02,104.08,108.87,,,,,,,
WGSH.JK,channel down,topping,12.79,0.07,149.57,157.34,,,,,,,
WIDI.JK,multiple tops,breakout,1.29,4.55,14.98,15.0,,,,,,,
WIFI.JK,channel up,topping,127.47,0.17,2283.95,2213.93,,,,,,,
WIIM.JK,channel up,breakout,33.76,1.1,865.0,930.83,,,,,,,
WINR.JK,channel down,breakout,1.25,3.78,25.02,25.5,,,,,,,
WINS.JK,channel up,topping,11.94,0.27,352.31,369.16,,,,,,,
WIRG.JK,channel down,basing,5.04,0.71,86.8,90.44,,,,,,,
WOMF.JK,channel up,topping,8.75,1.07,330.93,338.59,,,,,,,
WOOD.JK,channel down,breakout,16.92,0.22,351.84,368.47,,,,,,,
WOWS.JK,channel down,basing,0.96,0.07,46.09,49.67,,,,,,,
WSBP.JK,channel down,basing,0.63,2.77,14.13,15.47,,,,,,,
WTON.JK,channel down,breakout,4.72,2.13,84.33,87.0,,,,,,,
YELO.JK,channel down,breakout,0.66,0.75,18.48,20.12,,,,,,,
YOII.JK,symmetrical wedge,basing,4.32,0.41,101.44,100.45,,,,,,,
YUPI.JK,channel down,breakout,95.47,,1256.76,1171.27,,,,,,,
ZATA.JK,multiple tops,breakout,0.65,1.07,6.61,8.0,,,,,,,
ZBRA.JK,sideways,basing,0.03,0.02,50.0,50.0,,,,,,,
ZINC.JK,multiple bottoms,topping,0.62,0.84,12.0,13.67,,,,,,,
ZONE.JK,channel down,basing,9.11,1.25,800.0,830.93,,,,,,,
ZYRX.JK,multiple tops,topping,5.29,2.9,114.23,118.6,,,,,,,
